SAMPLE                                       	   XSEC   	(2016preVFP)	(2016postVFP)	  (2017)  	  (2018)  

HTbinnedWJets_70to100                        	   1271   	   1278   	   1278   	   1276   	   1271   
HTbinnedWJets_100to200                       	   1250   	   1248   	   1248   	   1250   	   1250   
HTbinnedWJets_200to400                       	   338    	  334.3   	  334.3   	  336.4   	   338    
HTbinnedWJets_400to600                       	  45.44   	   45.3   	   45.3   	  44.98   	  45.44   
HTbinnedWJets_600to800                       	  10.89   	  10.95   	  10.95   	  11.03   	  10.89   
HTbinnedWJets_800to1200                      	   4.93   	  4.928   	  4.928   	  4.928   	   4.93   
HTbinnedWJets_1200to2500                     	  1.157   	  1.157   	  1.157   	  1.157   	  1.157   
HTbinnedWJets_2500toInf                      	 0.02642  	 0.02642  	 0.02642  	 0.02642  	 0.02642  
HTbinnedWJets_Inclusive                      	  53450   	  53710   	  53710   	  53770   	  53450   
QCD_MuEnriched_15to20                        	 2822000  	 2822000  	 2822000  	 2823000  	 2822000  
QCD_MuEnriched_20to30                        	 2538000  	 2530000  	 2530000  	 2530000  	 2538000  
QCD_MuEnriched_30to50                        	 1369000  	 1366000  	 1366000  	 1365000  	 1369000  
QCD_MuEnriched_50to80                        	  378000  	  375900  	  375900  	  377200  	  378000  
QCD_MuEnriched_80to120                       	  89430   	  88460   	  88460   	  88290   	  89430   
QCD_MuEnriched_120to170                      	  21090   	  21160   	  21160   	  21220   	  21090   
QCD_MuEnriched_170to300                      	   7001   	   7026   	   7026   	   7070   	   7001   
QCD_MuEnriched_300to470                      	  618.9   	  619.7   	  619.7   	  617.1   	  618.9   
QCD_MuEnriched_470to600                      	  58.54   	  58.84   	  58.84   	  59.04   	  58.54   
QCD_MuEnriched_600to800                      	  18.05   	  18.07   	  18.07   	  18.42   	  18.05   
QCD_MuEnriched_800to1000                     	  3.281   	   3.27   	   3.27   	  3.266   	  3.281   
QCD_MuEnriched_20toInf                       	523400000 	523400000 	523400000 	523400000 	523400000 
DYJetsToLL_M50                               	   6448   	   6423   	   6423   	   6448   	   6448   
DYJetsToLL_M10to50                           	  15940   	  20610   	  20610   	  15870   	  15940   
SingleTop_s-channel_LeptonDecays             	  3.549   	  3.549   	  3.549   	  3.549   	  3.549   
SingleTop_t-channel_AntiTop_InclusiveDecays  	  67.93   	  71.74   	  71.74   	  67.93   	  67.93   
SingleTop_t-channel_Top_InclusiveDecays      	  113.4   	  113.4   	  113.4   	  113.4   	  113.4   
SingleTop_tW_AntiTop_InclusiceDecays         	  32.51   	  32.51   	  32.51   	  32.51   	  32.51   
SingleTop_tW_Top_InclusiveDecays             	  32.45   	  32.45   	  32.45   	  32.45   	  32.45   
TTBar_TTTo2L2Nu                              	  88.29   	  88.29   	  88.29   	  88.29   	  88.29   
TTBar_TTToSemiLeptonic                       	  365.34  	  365.34  	  365.34  	  365.34  	  365.34  
ZZ_ZZTo4L                                    	  1.325   	  1.325   	  1.325   	  1.325   	  1.325   
ZZ_ZZTo2Q2L                                  	  3.703   	  3.688   	  3.688   	  3.704   	  3.703   
ZZ_ZZTo2L2Nu                                 	  0.9738  	  0.9738  	  0.9738  	  0.9738  	  0.9738  
ZZ_ZZTo2Q2Nu                                 	  4.498   	  4.511   	  4.511   	   4.55   	  4.498   
WZ_WZTo3LNu                                  	  5.197   	  5.198   	  5.198   	  5.241   	  5.197   
WZ_WZTo2Q2L                                  	  6.351   	  6.377   	  6.377   	  6.449   	  6.351   
WZ_WZTo2L2Q                                  	  6.351   	  6.377   	  6.377   	  6.449   	  6.351   
WZ_WZTo1L1Nu2Q                               	  9.184   	  9.245   	  9.245   	   9.07   	  9.184   
WW_WWTo4Q                                    	  51.15   	  51.56   	  51.56   	  51.77   	  51.15   
WW_WWTo1L1Nu2Q                               	  51.14   	  51.31   	  51.31   	  51.02   	  51.14   
WW_WWTo2L2Nu                                 	  11.09   	  11.09   	  11.09   	  11.09   	  11.09   
