SAMPLE                                            	   XSEC   	EVENTS    	LUMI

HTbinnedWJets_70to100                             	   1271   	 16931765 	13321.609
HTbinnedWJets_100to200                            	   1250   	 21734530 	17387.624
HTbinnedWJets_200to400                            	   338    	 17870845 	52872.322
HTbinnedWJets_400to600                            	  45.44   	 2467498  	54302.333
HTbinnedWJets_600to800                            	  10.89   	 2344130  	215255.280
HTbinnedWJets_800to1200                           	   4.93   	 2510487  	509226.572
HTbinnedWJets_1200to2500                          	  1.157   	    0     	0.000
HTbinnedWJets_2500toInf                           	 0.02642  	    0     	0.000
HTbinnedWJets_Inclusive                           	  53450   	 74060701 	1385.607
QCD_MuEnriched_15to20                             	 2822000  	 4749558  	1.683
QCD_MuEnriched_20to30                             	 2538000  	 31926643 	12.579
QCD_MuEnriched_30to50                             	 1369000  	 28664840 	20.939
QCD_MuEnriched_50to80                             	  378000  	 19724658 	52.182
QCD_MuEnriched_80to120                            	  89430   	 21978558 	245.763
QCD_MuEnriched_120to170                           	  21090   	 19136907 	907.392
QCD_MuEnriched_170to300                           	   7001   	 37080544 	5296.464
QCD_MuEnriched_300to470                           	  618.9   	 28465385 	45993.513
QCD_MuEnriched_470to600                           	  58.54   	 19695298 	336441.715
QCD_MuEnriched_600to800                           	  18.05   	 19598815 	1085806.925
QCD_MuEnriched_800to1000                          	  3.281   	389333940 	118663194.148
QCD_MuEnriched_20toInf                            	523400000 	    0     	0.000
DYJetsToLL_M50                                    	   6448   	 90947213 	14104.717
DYJetsToLL_M10to50                                	  15940   	 49632553 	3113.711
SingleTop_s-channel_LeptonDecays                  	  3.549   	 5518000  	1554804.170
SingleTop_t-channel_AntiTop_InclusiveDecays       	  67.93   	 24681000 	363329.898
SingleTop_t-channel_Top_InclusiveDecays           	  113.4   	 55961000 	493483.245
SingleTop_tW_AntiTop_InclusiceDecays              	  32.51   	 2300000  	70747.462
SingleTop_tW_Top_InclusiveDecays                  	  32.45   	 2300000  	70878.274
TTBar_TTTo2L2Nu                                   	  88.29   	 37505000 	424793.295
TTBar_TTToSemiLeptonic                            	  365.34  	132178000 	361794.493
ZZ_ZZTo4L                                         	  1.325   	 49691000 	37502641.509
ZZ_ZZTo2Q2L                                       	  3.703   	 16060738 	4337223.332
ZZ_ZZTo2L2Nu                                      	  0.9738  	 16862000 	17315670.569
ZZ_ZZTo2Q2Nu                                      	  4.498   	 2468069  	548703.646
WZ_WZTo3LNu                                       	  5.197   	 9633623  	1853689.244
WZ_WZTo2Q2L                                       	  6.351   	 15678816 	2468716.108
WZ_WZTo1L1Nu2Q                                    	  9.184   	 3690271  	401815.222
WZ_WZTo2L2Q                                       	  6.351   	 15678816 	2468716.108
WW_WWTo4Q                                         	  51.15   	 19599397 	383174.917
WW_WWTo1L1Nu2Q                                    	  51.14   	 20071678 	392484.904
WW_WWTo2L2Nu                                      	  11.09   	 3018000  	272137.060
SingleMuon_SingleMuon_B                           	 unknown  	158145722 	unknown
SingleMuon_SingleMuon_C                           	 unknown  	 67441308 	unknown
SingleMuon_SingleMuon_D                           	 unknown  	 98017996 	unknown
SingleMuon_SingleMuon_E                           	 unknown  	 90984718 	unknown
SingleMuon_SingleMuon_F                           	 unknown  	 57465359 	unknown
