SAMPLE                                            	   XSEC   	EVENTS    	LUMI

HTbinnedWJets_70to100                             	   1271   	 66220256 	52100.910
HTbinnedWJets_100to200                            	   1250   	 51408967 	41127.174
HTbinnedWJets_200to400                            	   338    	 58225632 	172265.183
HTbinnedWJets_400to600                            	  45.44   	 7444030  	163821.083
HTbinnedWJets_600to800                            	  10.89   	 7718756  	708793.021
HTbinnedWJets_800to1200                           	   4.93   	 7306187  	1481985.193
HTbinnedWJets_1200to2500                          	  1.157   	 6481518  	5602003.457
HTbinnedWJets_2500toInf                           	 0.02642  	 2097648  	79396214.989
HTbinnedWJets_Inclusive                           	  53450   	 81051269 	1516.394
QCD_MuEnriched_20to30                             	 2538000  	 60640516 	23.893
QCD_MuEnriched_30to50                             	 1369000  	 58737695 	42.906
QCD_MuEnriched_50to80                             	  378000  	 40022458 	105.880
QCD_MuEnriched_80to120                            	  89430   	 45494357 	508.715
QCD_MuEnriched_120to170                           	  21090   	 38022194 	1802.854
QCD_MuEnriched_170to300                           	   7001   	 71870974 	10265.815
QCD_MuEnriched_300to470                           	  618.9   	 58949756 	95249.242
QCD_MuEnriched_470to600                           	  58.54   	 38453296 	656872.156
QCD_MuEnriched_600to800                           	  18.05   	 37197942 	2060827.812
QCD_MuEnriched_800to1000                          	  3.281   	 37197942 	11337379.457
QCD_MuEnriched_20toInf                            	523400000 	 17392472 	0.033
DYJetsToLL_M50                                    	   6448   	195510810 	30321.155
DYJetsToLL_M10to50                                	  15940   	 94452816 	5925.522
SingleTop_s-channel_LeptonDecays                  	  3.549   	 19365999 	5456748.098
SingleTop_t-channel_AntiTop_InclusiveDecays       	  67.93   	 95627000 	1407728.544
SingleTop_t-channel_Top_InclusiveDecays           	  113.4   	178336000 	1572627.866
SingleTop_tW_AntiTop_InclusiceDecays              	  32.51   	 7749000  	238357.428
SingleTop_tW_Top_InclusiveDecays                  	  32.45   	 7956000  	245177.196
TTBar_TTTo2L2Nu                                   	  88.29   	145020000 	1642541.624
TTBar_TTToSemiLeptonic                            	  365.34  	476408000 	1304012.700
ZZ_ZZTo4L                                         	  1.325   	 98488000 	74330566.038
ZZ_ZZTo2Q2L                                       	  3.703   	 29357938 	7928149.608
ZZ_ZZTo2L2Nu                                      	  0.9738  	 56886000 	58416512.631
ZZ_ZZTo2Q2Nu                                      	  4.498   	 19813764 	4405016.452
WZ_WZTo3LNu                                       	  5.197   	 9821283  	1889798.538
WZ_WZTo2Q2L                                       	  6.351   	 28576996 	4499605.731
WZ_WZTo1L1Nu2Q                                    	  9.184   	 7395487  	805257.731
WW_WWTo4Q                                         	  51.15   	 39541500 	773049.853
WW_WWTo1L1Nu2Q                                    	  51.14   	 40272013 	787485.589
WW_WWTo2L2Nu                                      	  11.09   	 9994000  	901172.227
SingleMuon_SingleMuon_A                           	 unknown  	241608232 	unknown
SingleMuon_SingleMuon_B                           	 unknown  	119918017 	unknown
SingleMuon_SingleMuon_C                           	 unknown  	109986009 	unknown
SingleMuon_SingleMuon_D                           	 unknown  	513909894 	unknown
